Title,Ratings,Original_Price,Manufacturing_Date,Expiry_Date,total_days,Demand,Demand_rank,days_remaining,Discount_Percentage,discount,ProductName_encoded
LA AmericanaWholewheat,3.8,65.0,2023-05-08,2023-06-07,30,Low,0.0,0,12.82,0.0,287
Bonn BreadPrime,3.8,40.0,2024-11-15,2024-12-15,30,Low,0.0,214,13.12,0.0,81
Bonn BreadAtta,3.8,55.0,2023-07-27,2023-08-26,30,Low,0.0,0,14.52,0.0,72
Bran-OPlus Fruit,3.8,40.0,2024-01-21,2024-02-20,30,Low,0.0,0,14.83,0.0,90
Harvest GoldKulcha,3.7,45.0,2022-09-09,2022-10-09,30,Low,0.0,0,14.61,0.0,231
Bonn BreadBread,3.8,50.0,2023-08-17,2023-09-16,30,Low,0.0,0,12.94,0.0,73
Bonn BreadKulcha,3.8,40.0,2024-09-14,2024-10-14,30,Low,0.0,152,13.38,0.0,77
DanbroMilk Bread3.73,3.7,32.0,2024-02-16,2024-03-17,30,Low,0.0,0,12.05,0.0,156
MoreishSandwich Milk,3.7,40.0,2025-03-28,2025-04-27,30,Low,0.0,347,13.73,0.0,353
Bonn BreadMultigrain,3.7,70.0,2023-04-28,2023-05-28,30,Low,0.0,0,13.84,0.0,79
Harvest GoldAtta,3.8,45.0,2023-03-20,2023-04-19,30,Low,0.0,0,13.61,0.0,229
Bonn BreadGarlic,3.7,50.0,2023-10-14,2023-11-13,30,Low,0.0,0,12.3,0.0,75
Bonn BreadSesame,3.8,40.0,2023-12-27,2024-01-26,30,Low,0.0,0,12.78,0.0,82
Bonn BreadMilk,3.7,45.0,2023-03-09,2023-04-08,30,Low,0.0,0,14.69,0.0,78
Bonn BreadPrime,3.7,50.0,2024-04-21,2024-05-21,30,Low,0.0,6,12.49,5.0,81
DanbroMilk Bread3.73,3.7,32.0,2024-03-05,2024-04-04,30,Low,0.0,0,13.69,0.0,156
MoreishSandwich Milk,3.7,40.0,2024-04-28,2024-05-28,30,Low,0.0,13,14.31,3.24,353
Bonn BreadMultigrain,3.7,70.0,2022-09-20,2022-10-20,30,Low,0.0,0,12.59,0.0,79
Harvest GoldAtta,3.8,45.0,2024-03-14,2024-04-13,30,Low,0.0,0,13.51,0.0,229
Bonn BreadGarlic,3.7,50.0,2024-03-29,2024-04-28,30,Low,0.0,0,12.75,0.0,75
Bonn BreadSesame,3.8,40.0,2023-12-08,2024-01-07,30,Low,0.0,0,12.33,0.0,82
Bonn BreadMilk,3.7,45.0,2023-11-01,2023-12-01,30,Low,0.0,0,14.67,0.0,78
Bonn BreadPrime,3.7,50.0,2024-08-17,2024-09-16,30,Low,0.0,124,13.37,0.0,81
Harvest GoldAtta,3.6,50.0,2024-06-17,2024-07-17,30,Low,0.0,63,12.3,0.0,229
Bonn BreadSweet,3.6,20.0,2023-02-14,2023-03-16,30,Low,0.0,0,13.06,0.0,84
LA AmericanaWhole,3.6,60.0,2022-08-15,2022-09-14,30,Low,0.0,0,13.23,0.0,286
BritanniaWhite Bread,3.4,30.0,2024-11-19,2024-12-19,30,Low,0.0,218,12.55,0.0,100
Bran-OPlus White,3.5,65.0,2025-01-31,2025-03-02,30,Low,0.0,291,12.5,0.0,92
Bakes FreshFruit,3.4,20.0,2025-02-03,2025-03-05,30,Low,0.0,294,12.77,0.0,59
The Health,3.4,155.0,2024-01-19,2024-02-18,30,Low,0.0,0,14.8,0.0,584
Harvest GoldAtta,3.6,50.0,2024-05-06,2024-06-05,30,Low,0.0,21,12.06,1.81,229
Bonn BreadSweet,3.6,20.0,2022-08-16,2022-09-15,30,Low,0.0,0,12.44,0.0,84
LA AmericanaWhole,3.6,60.0,2023-07-31,2023-08-30,30,Low,0.0,0,14.41,0.0,286
BritanniaWhite Bread,3.4,30.0,2025-02-19,2025-03-21,30,Low,0.0,310,12.32,0.0,100
Bran-OPlus White,3.5,65.0,2023-05-31,2023-06-30,30,Low,0.0,0,13.43,0.0,92
Bakes FreshFruit,3.4,20.0,2024-12-13,2025-01-12,30,Low,0.0,242,13.65,0.0,59
Bonn BreadPremium,3.9,45.0,2024-04-23,2024-05-23,30,Medium,1.0,8,10.28,3.39,80
The Health,3.4,155.0,2024-08-28,2024-09-27,30,Low,0.0,135,13.34,0.0,584
The Health,3.1,105.0,2022-12-04,2023-01-03,30,Low,0.0,0,14.19,0.0,584
Bran-OCheese-Garlic Bread,3.0,50.0,2022-11-19,2022-12-19,30,Low,0.0,0,14.87,0.0,89
The Health,3.1,105.0,2023-07-31,2023-08-30,30,Low,0.0,0,12.05,0.0,584
BauliMoonfils Croissant,4.2,80.0,2023-07-04,2023-08-03,30,Medium,1.0,0,10.19,0.0,62
Bran-OCheese-Garlic Bread,3.0,50.0,2024-08-13,2024-09-12,30,Low,0.0,120,13.04,0.0,89
BritanniaTreat Croissant,4.1,120.0,2022-11-14,2022-12-14,30,Medium,1.0,0,11.07,0.0,99
BritanniaFudge It,4.2,80.0,2024-05-24,2024-06-23,30,Medium,1.0,39,10.2,0.0,93
English OvenAtta,3.6,45.0,2024-08-26,2024-09-25,30,Low,0.0,133,12.04,0.0,179
BritanniaTreat Croissant,3.9,80.0,2023-05-17,2023-06-16,30,Medium,1.0,0,10.22,0.0,99
English OvenAtta,3.6,45.0,2022-08-03,2022-09-02,30,Low,0.0,0,13.84,0.0,179
Wingreens FarmsBaked,3.7,300.0,2024-06-07,2024-07-07,30,Low,0.0,53,14.76,0.0,621
BauliSavoriz Puffed,3.5,80.0,2022-07-25,2022-08-24,30,Low,0.0,0,12.52,0.0,63
BauliMoonfils Croissant,4.1,80.0,2023-02-14,2023-03-16,30,Medium,1.0,0,11.17,0.0,62
BauliMoonfils Croissant,4.2,80.0,2024-04-15,2024-05-15,30,Medium,1.0,0,10.97,0.0,62
BauliMoonfils Croissant,4.1,80.0,2024-01-25,2024-02-24,30,Medium,1.0,0,10.01,0.0,62
BauliMoonfils Croissant,4.2,80.0,2024-10-15,2024-11-14,30,Medium,1.0,183,10.29,0.0,62
BauliMoonfils Choco,3.5,500.0,2023-11-18,2023-12-18,30,Low,0.0,0,12.06,0.0,61
BauliMoonfils -,4.3,160.0,2022-10-01,2022-10-31,30,Medium,1.0,0,11.05,0.0,60
BauliSavoriz Puffed,3.5,80.0,2024-11-14,2024-12-14,30,Low,0.0,213,14.59,0.0,63
BauliMoonfils Croissant,4.1,80.0,2023-08-11,2023-09-10,30,Medium,1.0,0,11.88,0.0,62
BauliMoonfils Croissant,4.2,80.0,2023-01-12,2023-02-11,30,Medium,1.0,0,11.9,0.0,62
BritanniaGobbles Choco,4.1,60.0,2024-09-03,2024-10-03,30,Medium,1.0,141,11.84,0.0,94
BauliMoonfils Croissant,4.1,80.0,2025-03-10,2025-04-09,30,Medium,1.0,329,10.32,0.0,62
BauliMoonfils Croissant,4.2,80.0,2022-11-07,2022-12-07,30,Medium,1.0,0,10.62,0.0,62
BauliMoonfils Choco,3.5,500.0,2023-09-23,2023-10-23,30,Low,0.0,0,12.02,0.0,61
Wingreens FarmsCrispy,3.8,300.0,2023-02-18,2023-03-20,30,Low,0.0,0,12.84,0.0,623
BauliMoonfils -,4.3,160.0,2025-01-29,2025-02-28,30,Medium,1.0,289,10.23,0.0,60
MODERNWow Pav,3.9,35.0,2023-03-03,2023-04-02,30,Medium,1.0,0,11.51,0.0,301
BauliMoonfils Croissant,4.1,80.0,2024-10-24,2024-11-23,30,Medium,1.0,192,11.0,0.0,62
NandiniGoodLife Toned,4.1,30.0,2024-01-21,2024-02-20,30,Medium,1.0,0,10.86,0.0,364
Amul TaazaHomogenised,4.1,444.0,2024-08-27,2024-09-26,30,Medium,1.0,134,10.19,0.0,40
So GoodAlmond,3.9,1180.0,2022-10-05,2022-11-04,30,Medium,1.0,0,11.3,0.0,494
CavinsBelgian Chocolate,4.7,40.0,2023-07-30,2023-08-29,30,High,,0,5.0,0.0,125
HeritagePremium Badam,4.0,210.0,2024-02-01,2024-03-02,30,Medium,1.0,0,11.41,0.0,237
Raw PresseryReady,3.6,330.0,2023-03-16,2023-04-15,30,Low,0.0,0,12.24,0.0,460
CavinsVanilla Milkshake,4.2,320.0,2024-04-30,2024-05-30,30,Medium,1.0,15,11.86,18.98,133
Milky MistToned,4.2,80.0,2023-05-27,2023-06-26,30,Medium,1.0,0,10.63,0.0,350
Bagrry'sPlant Based,3.8,350.0,2025-01-06,2025-02-05,30,Low,0.0,266,13.33,0.0,58
SofitSoya Kesar,4.1,140.0,2023-05-19,2023-06-18,30,Medium,1.0,0,10.45,0.0,500
HeritageFlavoured Milk,4.0,120.0,2024-06-23,2024-07-23,30,Medium,1.0,69,10.27,0.0,235
AkshayakalpaOrganic Cow,4.1,500.0,2022-12-14,2023-01-13,30,Medium,1.0,0,11.82,0.0,34
"StoriaChocolate Shake,",4.1,135.0,2024-08-11,2024-09-10,30,Medium,1.0,118,11.51,0.0,508
So GoodAlmond,3.8,325.0,2022-09-11,2022-10-11,30,Low,0.0,0,13.15,0.0,494
So GoodPlant-Based,3.9,290.0,2023-02-02,2023-03-04,30,Medium,1.0,0,10.6,0.0,497
BoostMilkshake Nutrients,3.9,40.0,2023-01-24,2023-02-23,30,Medium,1.0,0,11.97,0.0,88
Milky MistCooking,4.0,640.0,2023-09-01,2023-10-01,30,Medium,1.0,0,10.91,0.0,347
AkshayakalpaCooking Butter,3.4,690.0,2023-01-28,2023-02-27,30,Low,0.0,0,14.9,0.0,33
Mother DairyPasteurized,4.1,60.0,2023-08-05,2023-09-04,30,Medium,1.0,0,10.86,0.0,354
HeritageToned Milk,4.0,90.0,2024-09-22,2024-10-22,30,Medium,1.0,160,10.5,0.0,239
CavinsKaju Butterscotch,4.2,320.0,2025-01-12,2025-02-11,30,Medium,1.0,272,10.83,0.0,129
AkshayakalpaOrganic Table,3.1,240.0,2023-07-09,2023-08-08,30,Low,0.0,0,14.62,0.0,38
Milky MistTable,4.0,65.0,2023-09-26,2023-10-26,30,Medium,1.0,0,10.46,0.0,349
HeritagePasteurized Cooking,4.1,265.0,2024-09-26,2024-10-26,30,Medium,1.0,164,11.62,0.0,236
NutraliteDoodh Shakti,4.1,260.0,2025-01-21,2025-02-20,30,Medium,1.0,281,10.36,0.0,388
Milky MistTable,4.4,78.0,2023-12-31,2024-01-30,30,Medium,1.0,0,10.1,0.0,349
NutraliteHealthier &,4.0,260.0,2023-06-05,2023-07-05,30,Medium,1.0,0,10.74,0.0,390
NutraliteDoodhshakti Probiotic,4.3,320.0,2024-07-02,2024-08-01,30,Medium,1.0,78,11.9,0.0,389
AmulWhite Butter,4.3,47.0,2025-01-25,2025-02-24,30,Medium,1.0,285,10.15,0.0,45
White CubPlant,4.1,180.0,2023-01-27,2023-02-26,30,Medium,1.0,0,11.14,0.0,620
NutraliteHealthier &,4.2,100.0,2025-02-20,2025-03-22,30,Medium,1.0,311,10.97,0.0,390
NUTORASEnglish Country,3.0,235.0,2023-11-01,2023-12-01,30,Low,0.0,0,12.07,0.0,358
Tata CoffeeGold,3.5,125.0,2023-12-20,2024-01-19,30,Low,0.0,0,13.19,0.0,555
So GoodOat,3.7,325.0,2024-08-04,2024-09-03,30,Low,0.0,111,14.8,0.0,496
Tata CoffeeGold,3.5,125.0,2024-03-08,2024-04-07,30,Low,0.0,0,12.88,0.0,555
So GoodOat,3.7,325.0,2022-11-11,2022-12-11,30,Low,0.0,0,14.94,0.0,496
HeritageFlavoured Milk,4.1,120.0,2023-06-22,2023-07-22,30,Medium,1.0,0,10.15,0.0,235
Nestle A+Slim,4.1,1200.0,2024-09-15,2024-10-15,30,Medium,1.0,153,10.89,0.0,379
NescafeIntense Cafe,4.2,135.0,2024-10-25,2024-11-24,30,Medium,1.0,193,11.32,0.0,377
BritanniaWinkin Cow,4.2,105.0,2025-01-02,2025-02-01,30,Medium,1.0,262,11.1,0.0,101
Milky MistUHT,3.7,250.0,2022-12-12,2023-01-11,30,Low,0.0,0,12.85,0.0,351
HeritageFlavoured Milk,4.0,120.0,2024-12-19,2025-01-18,30,Medium,1.0,248,11.25,0.0,235
HeritageFlavoured Milk,4.0,120.0,2022-11-26,2022-12-26,30,Medium,1.0,0,11.07,0.0,235
GoMilk -,4.2,450.0,2024-08-23,2024-09-22,30,Medium,1.0,130,11.04,0.0,214
Nourish youChocolate,5.0,59.0,2023-05-15,2023-06-14,30,High,,0,5.0,0.0,385
So GoodBarista,5.0,175.0,2024-12-26,2025-01-25,30,High,,255,5.0,0.0,495
CavinsCold Coffee,4.1,45.0,2023-09-02,2023-10-02,30,Medium,1.0,0,11.26,0.0,127
CavinsKaju Butterscotch,4.2,320.0,2023-03-10,2023-04-09,30,Medium,1.0,0,10.9,0.0,129
HeritageFlavoured Milk,4.1,120.0,2024-12-19,2025-01-18,30,Medium,1.0,248,10.84,0.0,235
NescafeIntense Cafe,4.2,135.0,2024-07-26,2024-08-25,30,Medium,1.0,102,11.4,0.0,377
BritanniaWinkin Cow,4.2,105.0,2022-11-01,2022-12-01,30,Medium,1.0,0,10.43,0.0,101
Milky MistUHT,3.7,250.0,2023-07-10,2023-08-09,30,Low,0.0,0,14.64,0.0,351
HeritageFlavoured Milk,4.0,120.0,2023-02-04,2023-03-06,30,Medium,1.0,0,10.05,0.0,235
HeritageFlavoured Milk,4.0,120.0,2024-10-05,2024-11-04,30,Medium,1.0,173,11.35,0.0,235
SofitSoya Drink,4.1,435.0,2024-10-22,2024-11-21,30,Medium,1.0,190,10.71,0.0,499
Nourish youChocolate,5.0,59.0,2023-08-06,2023-09-05,30,High,,0,5.0,0.0,385
So GoodPlant-Based,4.0,280.0,2023-08-23,2023-09-22,30,Medium,1.0,0,10.4,0.0,497
So GoodBarista,5.0,175.0,2024-02-12,2024-03-13,30,High,,0,5.0,0.0,495
CavinsCold Coffee,4.1,45.0,2023-06-12,2023-07-12,30,Medium,1.0,0,10.2,0.0,127
SunfeastStrawberry Milkshake,4.1,120.0,2024-11-24,2024-12-24,30,Medium,1.0,223,10.52,0.0,522
GovindSterilized Homogenized,4.6,30.0,2024-01-19,2024-02-18,30,High,,0,5.0,0.0,224
GovindSterilized Homogenized,4.5,30.0,2023-09-20,2023-10-20,30,Medium,1.0,0,10.78,0.0,224
GoSupremo Milk4.21640,4.2,984.0,2024-06-22,2024-07-22,30,Medium,1.0,68,11.19,0.0,215
Bagrry'sPlant Based,4.5,350.0,2024-02-28,2024-03-29,30,Medium,1.0,0,11.14,0.0,58
AmulKool Milkshake,4.2,150.0,2024-06-17,2024-07-17,30,Medium,1.0,63,10.32,0.0,41
RealMilk Power,4.4,40.0,2024-02-29,2024-03-30,30,Medium,1.0,0,10.84,0.0,461
BritanniaWinkin Cow,4.4,40.0,2023-07-19,2023-08-18,30,Medium,1.0,0,11.93,0.0,101
So GoodPlant-Based,4.0,300.0,2024-03-09,2024-04-08,30,Medium,1.0,0,10.19,0.0,497
SofitSoya Drink,4.1,465.0,2024-04-01,2024-05-01,30,Medium,1.0,0,11.01,0.0,499
SunfeastStrawberry Milkshake,4.1,120.0,2022-12-14,2023-01-13,30,Medium,1.0,0,10.19,0.0,522
GovindSterilized Homogenized,4.6,30.0,2023-11-28,2023-12-28,30,High,,0,5.0,0.0,224
GovindSterilized Homogenized,4.5,30.0,2024-09-10,2024-10-10,30,Medium,1.0,148,10.02,0.0,224
AmulWhipping Cream42987,4.0,280.0,2022-09-17,2022-10-17,30,Medium,1.0,0,10.01,0.0,44
Bagrry'sPlant Based,4.5,350.0,2024-08-12,2024-09-11,30,Medium,1.0,119,10.58,0.0,58
AmulKool Milkshake,4.2,150.0,2023-05-23,2023-06-22,30,Medium,1.0,0,11.91,0.0,41
RealMilk Power,4.4,40.0,2024-04-11,2024-05-11,30,Medium,1.0,0,10.09,0.0,461
BritanniaWinkin Cow,4.4,40.0,2023-03-01,2023-03-31,30,Medium,1.0,0,11.78,0.0,101
SunfeastBadam Milkshake,4.1,120.0,2022-11-20,2022-12-20,30,Medium,1.0,0,10.17,0.0,519
SofitSoya Drink,4.1,435.0,2023-08-28,2023-09-27,30,Medium,1.0,0,11.75,0.0,499
SunfeastVanilla Milkshake,4.1,120.0,2024-03-01,2024-03-31,30,Medium,1.0,0,10.3,0.0,523
NestléMilo RTD,4.2,135.0,2024-08-01,2024-08-31,30,Medium,1.0,108,11.59,0.0,380
NandiniCool -,4.3,30.0,2025-03-04,2025-04-03,30,Medium,1.0,323,11.17,0.0,363
BritanniaWinkin Cow,4.3,105.0,2022-12-15,2023-01-14,30,Medium,1.0,0,11.84,0.0,101
Tata CoffeeGold,3.7,125.0,2023-05-04,2023-06-03,30,Low,0.0,0,14.85,0.0,555
BritanniaWinkin' Cow,4.3,105.0,2023-02-19,2023-03-21,30,Medium,1.0,0,10.66,0.0,102
SunfeastMango Smoothie,4.2,120.0,2022-07-23,2022-08-22,30,Medium,1.0,0,10.71,0.0,521
SunfeastBadam Milkshake,4.1,120.0,2022-08-02,2022-09-01,30,Medium,1.0,0,11.38,0.0,519
SunfeastVanilla Milkshake,4.1,120.0,2023-12-04,2024-01-03,30,Medium,1.0,0,10.83,0.0,523
NandiniCool -,4.3,30.0,2024-02-21,2024-03-22,30,Medium,1.0,0,11.75,0.0,363
BritanniaWinkin Cow,4.3,105.0,2022-08-30,2022-09-29,30,Medium,1.0,0,11.81,0.0,101
Tata CoffeeGold,3.7,125.0,2024-05-04,2024-06-03,30,Low,0.0,19,12.24,5.61,555
BritanniaWinkin' Cow,4.3,105.0,2022-07-22,2022-08-21,30,Medium,1.0,0,11.54,0.0,102
SunfeastMango Smoothie,4.2,120.0,2024-01-03,2024-02-02,30,Medium,1.0,0,10.07,0.0,521
AkshayakalpaOrganic Plain,4.4,90.0,2024-07-14,2024-08-13,30,Medium,1.0,90,10.74,0.0,35
CavinsGulkand Milkshake,4.2,60.0,2024-07-28,2024-08-27,30,Medium,1.0,104,11.22,0.0,128
GovindSterilized Homogenized,4.2,30.0,2024-01-09,2024-02-08,30,Medium,1.0,0,11.84,0.0,224
CavinsRajbhog Milkshake,4.2,180.0,2023-07-17,2023-08-16,30,Medium,1.0,0,10.69,0.0,131
AkshayakalpaOrganic Spiced,4.1,90.0,2023-12-31,2024-01-30,30,Medium,1.0,0,11.03,0.0,37
NescafeHazelnut Flavoured,4.2,135.0,2025-01-21,2025-02-20,30,Medium,1.0,281,11.77,0.0,374
CavinsRabdi Milkshake,4.2,180.0,2024-10-20,2024-11-19,30,Medium,1.0,188,10.5,0.0,130
NescafeIced Latte,4.2,200.0,2023-11-03,2023-12-03,30,Medium,1.0,0,11.45,0.0,376
JerseyBadam Flavoured,4.2,120.0,2023-06-26,2023-07-26,30,Medium,1.0,0,10.56,0.0,261
MTRBadam Drink4.2102,4.2,240.0,2023-03-20,2023-04-19,30,Medium,1.0,0,10.05,0.0,304
Godrej JerseyPista,4.2,35.0,2023-02-12,2023-03-14,30,Medium,1.0,0,11.52,0.0,219
RealMilk Power,4.1,120.0,2024-09-20,2024-10-20,30,Medium,1.0,158,11.02,0.0,461
RealMilk Power,4.1,140.0,2023-01-29,2023-02-28,30,Medium,1.0,0,11.36,0.0,461
NandiniGoodlife Slim,4.0,580.0,2024-08-30,2024-09-29,30,Medium,1.0,137,11.01,0.0,365
SunfeastDark Fantasy,4.2,120.0,2025-02-10,2025-03-12,30,Medium,1.0,301,10.28,0.0,520
CavinsGulkand Milkshake,4.2,60.0,2022-08-13,2022-09-12,30,Medium,1.0,0,10.61,0.0,128
AkshayakalpaOrganic Slim,3.8,540.0,2023-10-18,2023-11-17,30,Low,0.0,0,14.58,0.0,36
GovindSterilized Homogenized,4.2,30.0,2023-11-02,2023-12-02,30,Medium,1.0,0,11.37,0.0,224
CavinsRajbhog Milkshake,4.2,180.0,2022-11-21,2022-12-21,30,Medium,1.0,0,10.87,0.0,131
So GoodPlant-Based,4.0,290.0,2023-04-03,2023-05-03,30,Medium,1.0,0,10.69,0.0,497
NescafeHazelnut Flavoured,4.2,135.0,2022-09-07,2022-10-07,30,Medium,1.0,0,11.1,0.0,374
